distance,traffic_level,hour,is_weekend,available_slots,price
3.745401188473625,18.513292883861965,6.0,1.0,10.0,100.6676309613348
9.50714306409916,54.190094737835814,2.0,0.0,57.0,49.83986162783103
7.319939418114051,87.29458358764083,22.0,1.0,56.0,79.9159431050526
5.986584841970366,73.22248864095612,13.0,1.0,76.0,77.13450507700341
1.5601864044243652,80.65611478614497,23.0,1.0,3.0,117.97152244957601
1.5599452033620265,65.87833667107174,9.0,0.0,85.0,107.09369475675594
0.5808361216819946,69.22765645178525,15.0,1.0,6.0,126.21394352761186
8.661761457749352,84.91956515653193,15.0,0.0,60.0,65.15219642259933
6.011150117432088,24.966800885918595,21.0,0.0,53.0,63.61417278470414
7.080725777960454,48.942496364314046,9.0,0.0,87.0,69.18915300858457
0.20584494295802447,22.120944181960223,12.0,0.0,67.0,86.87305453490818
9.699098521619943,98.7668007996647,5.0,1.0,91.0,66.05054093137834
8.324426408004218,94.40593396866133,11.0,0.0,78.0,60.857689496492156
2.1233911067827616,3.94268113685059,8.0,1.0,0.0,122.66643879840123
1.8182496720710062,70.55751725156884,12.0,1.0,54.0,106.27953994704933
1.8340450985343382,92.52483174156659,3.0,0.0,2.0,114.83127518258138
3.0424224295953772,18.057534512733355,23.0,1.0,77.0,78.51909168826153
5.247564316322379,56.79452305526295,10.0,1.0,37.0,108.24698161820089
4.319450186421157,91.54882975880419,19.0,0.0,0.0,129.3527243656074
2.9122914019804194,3.394597858579884,17.0,1.0,37.0,104.16109044732669
